data;100AFN;100MGA;1PAB;1ETB;1VEF;1BOB;100CRC;1SVC;1NIO;1GMD;100MKD;100DZD;1BHD;100IQD;1JOD;1KWD;1LYD;1RSD;1TND;1MAD;1AED;10000STD;1BSD;1BBD;1BZD;1BND;1FJD;100GYD;1JMD;1LRD;1NAD;1SRD;1TTD;1XCD;1SBD;10000VND;100AMD;1CVE;1AWG;100BIF;100XOF;100XAF;100XPF;100DJF;100GNF;100KMF;100CDF;100RWF;1EGP;1GIP;100LBP;100SSP;1SDG;1SYP;1GHS;1HTG;100PYG;1ANG;1PGK;100LAK;100MWK;1ZMW;1AOA;100MMK;1GEL;1MDL;100ALL;1HNL;100SLL;1SZL;1LSL;1AZN;1MZN;100NGN;1ERN;1TWD;1TMT;100MRO;1TOP;1MOP;1ARS;1DOP;100COP;1CUP;1UYU;1BWP;1GTQ;100IRR;100YER;1QAR;1OMR;1SAR;100KHR;1BYN;100LKR;1MVR;1MUR;100NPR;1PKR;1SCR;1PEN;1KGS;1TJS;100UZS;100KES;100SOS;100TZS;100UGX;100BDT;1WST;100KZT;100MNT;100VUV;1BAM;nr tabeli;pe³ny numer tabeli;
;afgani (Afganistan);ariary  (Madagaskar);balboa  (Panama);birr etiopski;bolivar (Wenezuela);boliwiano  (Boliwia);colon  kostarykañski;colon  salwadorski;cordoba  oro  (Nikaragua);dalasi  (Gambia);denar  (Macedonia);dinar  algierski;dinar  bahrajski;dinar iracki;dinar  jordañski;dinar  kuwejcki;dinar  libijski;dinar serbski;dinar  tunezyjski;dirham  marokañski;dirham  ZEA  (Zjednoczone  Emiraty  Arabskie);dobra  (Wyspy Œwiêtego Tomasza i Ksi¹¿êca);dolar  bahamski;dolar  barbadoski;dolar  belizeñski;dolar  brunejski;dolar  Fid¿i;dolar  gujañski;dolar  jamajski;dolar liberyjski;dolar  namibijski;dolar  surinamski;dolar  Trynidadu  i  Tobago;dolar wschodniokaraibski;dolar  Wysp  Salomona;dong  (Wietnam);dram (Armenia);escudo  Republiki  Zielonego  Przyl¹dka;florin arubañski;frank burundyjski;frank  CFA  BCEAO ;frank CFA BEAC;frank CFP  ;frank  D¿ibuti;frank  gwinejski;frank  Komorów;frank  kongijski  (Dem.  Republika  Konga);frank  rwandyjski;funt  egipski;funt gibraltarski;funt  libañski;funt po³udniowosudañski;funt sudañski;funt syryjski;Ghana cedi ;gourde  (Haiti);guarani  (Paragwaj);gulden  Antyli  Holenderskich;kina  (Papua-Nowa  Gwinea);kip  (Laos);kwacha malawijska;kwacha zambijska;kwanza (Angola);kyat (Myanmar, Birma);lari  (Gruzja);lej  Mo³dawii;lek (Albania);lempira  (Honduras);leone  (Sierra  Leone);lilangeni (Suazi);loti  (Lesotho);manat  azerbejd¿añski;metical  (Mozambik);naira (Nigeria);nakfa (Erytrea);nowy dolar tajwañski;nowy manat (Turkmenistan);ouguiya  (Mauretania);pa'anga  (Tonga);pataca (Makau);peso  argentyñskie;peso  dominikañskie;peso  kolumbijskie;peso kubañskie;peso  urugwajskie;pula  (Botswana);quetzal  (Gwatemala);rial  irañski;rial  jemeñski;rial  katarski;rial  omañski;rial  saudyjski;riel  (Kambod¿a);rubel bia³oruski;rupia lankijska;rupia  (Malediwy);rupia  Mauritiusu;rupia  nepalska;rupia  pakistañska;rupia  seszelska;sol  (Peru);som  (Kirgistan);somoni  (Tad¿ykistan);sum (Uzbekistan);szyling  kenijski;szyling somalijski;szyling  tanzañski;szyling  ugandyjski;taka  (Bangladesz);tala  (Samoa);tenge  (Kazachstan);tugrik  (Mongolia);vatu  (Vanuatu);wymienialna marka (Boœnia i Hercegowina);
20170104;6,2861;0,1249;4,2037;0,1868;0,4210;0,6068;0,7632;0,4818;0,1428;0,0966;7,1333;3,7970;11,1917;0,3558;5,9225;13,7309;2,9193;0,0356;1,7870;0,4140;1,1449;1,7810;4,2037;2,1004;2,0921;2,9070;1,9865;2,0304;0,0326;0,0450;0,2999;0,5658;0,6258;1,5532;0,5387;1,8560;0,8580;0,0396;2,3495;0,2509;0,6648;0,6679;3,6711;2,3506;0,0446;0,9085;0,3607;0,5044;0,2339;5,1596;0,2791;;0,6549;0,0082;0,9913;0,0628;0,0725;2,3625;1,3239;0,0513;0,5801;0,4252;0,0254;0,3093;1,5809;0,2101;3,2376;0,1816;0,0763;0,3067;0,3065;2,3753;0,0595;1,3383;0,2704;0,1304;;1,1717;1,8831;0,5264;0,2638;0,0904;0,1411;;0,1462;0,3934;0,5572;0,0130;1,6811;1,1562;10,9597;1,1207;0,1038;2,1337;2,8007;0,2727;0,1165;3,8548;0,0401;0,3101;1,2389;0,0607;0,5331;0,1314;4,0751;0,7269;0,1925;0,1163;5,3577;1,6372;1,2607;0,1688;3,7510;2,2434;1;001/B/NBP/2017;
20170111;6,1871;0,1243;4,1465;0,1836;0,4143;0,5970;0,7509;0,4741;0,1403;0,0918;7,1019;3,7551;11,0118;0,3500;5,8308;13,5036;2,8793;0,0353;1,7985;0,4102;1,1263;1,7799;4,1465;2,0670;2,0584;2,8797;1,9726;1,9890;0,0321;0,0438;0,3021;0,5540;0,6157;1,5301;0,5298;1,8358;0,8552;0,0395;2,3113;0,2469;0,6639;0,6638;3,6606;2,3383;0,0438;0,8945;0,3433;0,4962;0,2214;5,0266;0,2744;;0,6434;0,0080;0,9735;0,0626;0,0714;2,3244;1,3025;0,0505;0,5714;0,4086;0,0250;0,3055;1,5103;0,2058;3,2026;0,1800;0,0556;0,3018;0,3018;2,2919;0,0588;1,3166;0,2664;0,1298;;1,1530;1,8549;0,5180;0,2613;0,0889;0,1401;;0,1442;0,3879;0,5496;0,0128;1,6539;1,1361;10,7570;1,1043;0,1025;2,1017;2,7546;0,2687;0,1149;3,7856;0,0395;0,3195;1,2211;0,0596;0,5263;0,1275;3,9823;0,7152;0,1868;0,1140;5,2552;1,6149;1,2391;0,1657;3,7224;2,2335;2;002/B/NBP/2017;
20170118;6,1203;0,1251;4,0870;0,1810;0,4093;0,5899;0,7419;0,4684;0,1386;0,0934;7,1094;3,7323;10,8463;0,3458;5,7617;13,4023;2,8598;0,0353;1,7948;0,4083;1,1128;1,7775;4,0870;2,0422;2,0337;2,8761;1,9681;1,9652;0,0317;0,0437;0,3020;0,5471;0,6083;1,5097;0,5112;1,8109;0,8382;0,0395;2,2834;0,2437;0,6624;0,6642;3,6625;2,2869;0,0434;0,8839;0,3321;0,4902;0,2158;5,0354;0,2713;;0,6357;0,0079;0,9551;0,0619;0,0706;2,2965;1,2867;0,0499;0,5634;0,4159;0,0247;0,3062;1,5343;0,2030;3,1849;0,1732;0,0547;0,3010;0,3010;2,2132;0,0587;1,3392;0,2632;0,1296;;1,1390;1,8558;0,5117;0,2571;0,0878;0,1400;;0,1423;0,3863;0,5415;0,0126;1,6341;1,1221;10,6209;1,0885;0,1014;2,0904;2,7225;0,2630;0,1140;3,7586;0,0390;0,3023;1,2239;0,0588;0,5169;0,1258;3,9307;0,7066;0,1829;0,1131;5,1704;1,6247;1,2369;0,1640;3,6824;2,2346;3;003/B/NBP/2017;
20170125;6,1000;0,1263;4,0585;0,1799;0,4072;0,5868;0,7381;0,4660;0,1379;0,0902;7,0855;3,7179;10,7743;0,3444;5,7322;13,3403;2,8612;0,0352;1,7889;0,4071;1,1071;1,7772;4,0585;2,0318;2,0233;2,8620;1,9744;1,9552;0,0316;0,0430;0,3044;0,5438;0,6052;1,5021;0,5210;1,7998;0,8366;0,0393;2,2715;0,2424;0,6639;0,6631;3,6564;2,2739;0,0431;0,8794;0,3301;0,4875;0,2132;5,1096;0,2699;;0,6324;0,0079;0,9403;0,0601;0,0701;2,2848;1,2793;0,0497;0,5604;0,4160;0,0245;0,3055;1,5123;0,2023;3,1903;0,1724;0,0552;0,3044;0,3042;2,1526;0,0579;1,2943;0,2615;0,1297;;1,1329;1,8373;0,5090;0,2555;0,0874;0,1388;;0,1438;0,3876;0,5416;0,0126;1,6257;1,1174;10,5695;1,0841;0,1004;2,1068;2,7039;0,2637;0,1139;3,7289;0,0388;0,3140;1,2383;0,0585;0,5143;0,1244;3,9104;0,7030;0,1814;0,1133;5,1288;1,6132;1,2392;0,1637;3,6922;2,2332;4;004/B/NBP/2017;
20170201;5,9896;0,1244;4,0071;0,1770;0,4008;0,5776;0,7265;0,4587;0,1358;0,0877;7,0278;3,6643;10,6259;0,3389;5,6399;13,1411;2,8090;0,0349;1,7508;0,4012;1,0897;1,7552;4,0071;1,9999;1,9915;2,8334;1,9498;1,9327;0,0311;0,0424;0,2972;0,5330;0,5957;1,4802;0,5127;1,7827;0,8245;0,0390;2,2360;0,2373;0,6576;0,6568;3,6223;2,2365;0,0426;0,8661;0,3236;0,4782;0,2124;5,0510;0,2654;;0,6232;0,0078;0,9159;0,0593;0,0689;2,2488;1,2600;0,0489;0,5517;0,4033;0,0241;0,2972;1,4853;0,2008;3,1652;0,1691;0,0532;0,2965;0,2965;2,0706;0,0570;1,2823;0,2574;0,1285;;1,1150;1,8084;0,5009;0,2518;0,0859;0,1372;;0,1425;0,3807;0,5355;0,0124;1,6002;1,1012;10,4147;1,0685;0,0993;2,0849;2,6579;0,2598;0,1127;3,7009;0,0382;0,2942;1,2234;0,0579;0,5061;0,1231;3,8540;0,6919;0,1791;0,1116;5,0604;1,5890;1,2335;0,1629;3,6795;2,2098;5;005/B/NBP/2017;
20170208;6,0667;0,1273;4,0521;0,1788;0,4051;0,5838;0,7343;0,4636;0,1372;0,0913;6,9968;3,6825;10,6542;0,3423;5,7021;13,2457;2,8424;0,0348;1,7729;0,4034;1,1014;1,7565;4,0521;2,0208;2,0128;2,8542;1,9731;1,9455;0,0315;0,0430;0,3007;0,5375;0,6012;1,4949;0,5184;1,7818;0,8319;0,0389;2,2604;0,2398;0,6561;0,6554;3,6136;2,2630;0,0430;0,8763;0,3211;0,4832;0,2203;5,0643;0,2681;;0,6301;0,0079;0,9205;0,0605;0,0698;2,2729;1,2870;0,0494;0,5561;0,4126;0,0244;0,2975;1,5237;0,2028;3,1711;0,1722;0,0545;0,3008;0,3008;2,2168;0,0577;1,2862;0,2604;0,1302;;1,1269;1,8670;0,5063;0,2581;0,0865;0,1416;;0,1425;0,3839;0,5438;0,0125;1,6173;1,1130;10,4325;1,0795;0,1002;2,1082;2,6815;0,2627;0,1140;3,7572;0,0386;0,2997;1,2278;0,0583;0,5104;0,1230;3,8975;0,6994;0,1810;0,1128;5,0611;1,6214;1,2460;0,1630;3,7112;2,2051;6;006/B/NBP/2017;
20170215;6,1076;0,1294;4,0752;0,1799;0,4078;0,5878;0,7285;0,4667;0,1378;0,0911;6,9817;3,6986;10,8157;0,3446;5,7413;13,2405;2,8538;0,0347;1,7780;0,4039;1,1089;1,7522;4,0752;2,0350;2,0266;2,8633;1,9772;1,9593;0,0316;0,0431;0,3125;0,5401;0,6062;1,5070;0,5218;1,7879;0,8325;0,0389;2,2753;0,2413;0,6543;0,6540;3,6095;2,2759;0,0433;0,8826;0,3233;0,4863;0,2476;5,0627;0,2699;;0,6341;0,0079;0,9158;0,0606;0,0702;2,2884;1,2958;0,0497;0,5624;0,4178;0,0246;0,2997;1,5460;0,2030;3,1764;0,1733;0,0555;0,3131;0,3131;2,3020;0,0582;1,2952;0,2621;0,1324;;1,1343;1,8666;0,5097;0,2632;0,0871;0,1418;;0,1429;0,3917;0,5488;0,0126;1,6253;1,1190;10,5739;1,0851;0,1010;2,1865;2,7012;0,2633;0,1145;3,8042;0,0389;0,2991;1,2502;0,0588;0,5086;0,1231;3,9299;0,7041;0,1825;0,1136;5,1332;1,6205;1,2725;0,1641;3,7324;2,1998;7;007/B/NBP/2017;
20170222;6,1391;0,1369;4,0899;0,1806;0,4097;0,5904;0,7339;0,4689;0,1384;0,0918;6,9881;3,7046;10,7429;0,3475;5,7668;13,2604;2,8615;0,0347;1,7703;0,4043;1,1140;1,7515;4,0899;2,0437;2,0357;2,8837;1,9752;1,9690;0,0318;0,0435;0,3124;0,5424;0,6089;1,5106;0,5251;1,7836;0,8410;0,0388;2,2860;0,2423;0,6506;0,6532;3,6014;2,2861;0,0436;0,8864;0,3242;0,4884;0,2584;5,0860;0,2710;;0,6372;0,0079;0,8973;0,0612;0,0716;2,2987;1,2879;0,0499;0,5647;0,4207;0,0247;0,3001;1,5766;0,2041;3,1853;0,1737;0,0549;0,3126;0,3133;2,2827;0,0587;1,3000;0,2631;0,1328;;1,1391;1,8686;0,5118;0,2625;0,0875;0,1410;;0,1447;0,3924;0,5542;0,0126;1,6326;1,1236;10,6116;1,0894;0,1013;2,1873;2,7021;0,2650;0,1148;3,8165;0,0390;0,3039;1,2602;0,0592;0,5095;0,1238;3,9497;0,7073;0,1831;0,1141;5,1433;1,6310;1,3073;0,1652;3,7453;2,1974;8;008/B/NBP/2017;
20170301;6,1054;0,1405;4,0756;0,1797;0,4080;0,5880;0,7309;0,4669;0,1379;0,0917;6,9870;3,6941;10,8073;0,3465;5,7435;13,3158;2,8532;0,0347;1,7744;0,4037;1,1094;1,7521;4,0756;2,0358;2,0273;2,8931;1,9824;1,9599;0,0316;0,0431;0,3117;0,5402;0,6064;1,5051;0,5221;1,7848;0,8366;0,0389;2,2766;0,2412;0,6538;0,6531;3,6009;2,2767;0,0444;0,8830;0,3111;0,4862;0,2549;5,0437;0,2705;;0,6342;0,0079;0,8669;0,0611;0,0733;2,2893;1,2858;0,0496;0,5615;0,4249;0,0246;0,3004;1,6363;0,2046;3,1800;0,1732;0,0547;0,3117;0,3117;2,2796;0,0591;1,2957;0,2624;0,1324;;1,1342;1,8764;0,5097;0,2633;0,0866;0,1392;;0,1444;0,3910;0,5529;0,0126;1,6259;1,1205;10,5746;1,0865;0,1015;2,1801;2,6897;0,2614;0,1145;3,8105;0,0389;0,3055;1,2492;0,0589;0,5026;0,1221;3,9620;0,7044;0,1823;0,1135;5,1185;1,6307;1,2972;0,1644;3,7263;2,1970;9;009/B/NBP/2017;
20170308;6,1160;0,1276;4,0818;0,1800;0,4087;0,5890;0,7325;0,4677;0,1381;0,0897;7,0060;3,7047;10,8286;0,3456;5,7572;13,3417;2,8498;0,0348;1,7623;0,4045;1,1113;1,7572;4,0818;2,0392;2,0307;2,8882;1,9653;1,9625;0,0317;0,0441;0,3141;0,5411;0,6065;1,5092;0,5229;1,7890;0,8373;0,0389;2,2803;0,2416;0,6545;0,6549;3,6107;2,2806;0,0434;0,8845;0,3085;0,4869;0,2318;4,9651;0,2709;;0,6355;0,0079;0,8778;0,0612;0,0755;2,2931;1,2879;0,0498;0,5625;0,4208;0,0246;0,3005;1,6662;0,2061;3,1875;0,1734;0,0548;0,3141;0,3140;2,3132;0,0595;1,2969;0,2625;0,1320;;1,1351;1,8733;0,5103;0,2622;0,0868;0,1380;;0,1440;0,3918;0,5531;0,0126;1,6286;1,1206;10,5943;1,0867;0,1017;2,1416;2,6969;0,2626;0,1149;3,8258;0,0389;0,3152;1,2444;0,0590;0,5096;0,1229;3,9783;0,7056;0,1826;0,1133;5,1301;1,6107;1,2954;0,1648;3,7102;2,2030;10;010/B/NBP/2017;
20170315;6,0938;0,1300;4,0646;0,1791;0,4068;0,5863;0,7292;0,4656;0,1374;0,0868;7,0257;3,6966;10,7980;0,3451;5,7271;13,2784;2,8435;0,0349;1,7811;0,4045;1,1063;1,7579;4,0646;2,0295;2,0216;2,8763;1,9512;1,9705;0,0316;0,0430;0,3097;0,5386;0,6038;1,5029;0,5206;1,7829;0,8392;0,0390;2,2705;0,2403;0,6563;0,6567;3,6204;2,2703;0,0433;0,8809;0,3048;0,4846;0,2381;4,9610;0,2697;;0,6077;0,0079;0,8844;0,0588;0,0746;2,2828;1,2821;0,0495;0,5599;0,4233;0,0245;0,2997;1,6320;0,2053;3,1908;0,1733;0,0543;0,3097;0,3099;2,3693;0,0596;1,2923;0,2613;0,1318;;1,1296;1,8308;0,5078;0,2614;0,0863;0,1357;;0,1436;0,3897;0,5510;0,0125;1,6213;1,1165;10,5863;1,0843;0,1016;2,1167;2,6830;0,2620;0,1142;3,8682;0,0388;0,3015;1,2387;0,0587;0,4966;0,1160;3,9492;0,7024;0,1818;0,1130;5,1231;1,5973;1,2747;0,1656;3,6993;2,2092;11;011/B/NBP/2017;
20170322;5,9562;0,1217;3,9731;0,1745;0,3978;0,5733;0,7148;0,4552;0,1343;0,0885;6,9570;3,6385;10,5593;0,3384;5,5990;13,0556;2,7826;0,0346;1,7614;0,3980;1,0815;1,7453;3,9731;1,9847;1,9764;2,8361;1,9166;1,9128;0,0308;0,0425;0,3141;0,5265;0,5903;1,4702;0,5090;1,7442;0,8214;0,0387;2,2193;0,2349;0,6509;0,6514;3,5961;2,2196;0,0423;0,8616;0,2964;0,4736;0,2186;4,9518;0,2634;;0,5944;0,0077;0,8819;0,0576;0,0718;2,2319;1,2505;0,0484;0,5484;0,4166;0,0240;0,2920;1,6285;0,2032;3,1651;0,1688;0,0526;0,3141;0,3140;2,2845;0,0583;1,2606;0,2558;0,1301;;1,1044;1,7969;0,4966;0,2542;0,0844;0,1365;;0,1410;0,3883;0,5420;0,0123;1,5881;1,0891;10,3253;1,0595;0,0994;2,1088;2,6179;0,2578;0,1121;3,7929;0,0379;0,2949;1,2222;0,0574;0,4875;0,1138;3,8573;0,6867;0,1777;0,1105;4,9802;1,5756;1,2648;0,1617;3,6057;2,1911;12;012/B/NBP/2017;
20170329;5,8915;0,1219;3,9265;0,1719;0,3932;0,5667;0,7067;0,4500;0,1328;0,0875;6,8766;3,5745;10,3355;0,3360;5,5336;12,8754;2,7752;0,0342;1,7317;0,3933;1,0690;1,7259;3,9265;1,9617;1,9541;2,8121;1,9022;1,8882;0,0305;0,0420;0,3004;0,5202;0,5836;1,4532;0,5031;1,7192;0,8118;0,0382;2,1943;0,2322;0,6434;0,6438;3,5498;2,1945;0,0420;0,8521;0,2914;0,4680;0,2146;4,8869;0,2602;;0,5875;0,0076;0,9029;0,0571;0,0693;2,2065;1,2373;0,0478;0,5422;0,4113;0,0237;0,2884;1,6094;0,2016;3,1262;0,1680;0,0532;0,3003;0,2998;2,2982;0,0585;1,2478;0,2529;0,1299;;1,0918;1,7798;0,4909;0,2520;0,0834;0,1351;;0,1381;0,3786;0,5356;0,0121;1,5701;1,0792;10,1376;1,0472;0,0975;2,0923;2,5848;0,2534;0,1116;3,7795;0,0375;0,2915;1,2116;0,0572;0,4699;0,1109;3,8205;0,6789;0,1757;0,1088;4,9175;1,5545;1,2464;0,1601;3,5835;2,1658;13;013/B/NBP/2017;
20170405;5,9011;0,1226;3,9783;0,1746;0,3982;0,5740;0,7147;0,4558;0,1345;0,0888;6,8935;3,6133;10,5527;0,3408;5,6095;13,0238;2,7943;0,0343;1,7470;0,3959;1,0828;1,7297;3,9783;1,9872;1,9789;2,8439;1,9172;1,9121;0,0309;0,0423;0,2918;0,5268;0,5910;1,4719;0,5095;1,7530;0,8206;0,0383;2,2221;0,2350;0,6427;0,6454;3,5585;2,2223;0,0427;0,8632;0,2927;0,4744;0,2204;4,9607;0,2640;;0,5952;0,0077;0,9337;0,0581;0,0693;2,2345;1,2388;0,0484;0,5491;0,4163;0,0240;0,2940;1,6402;0,2045;3,1264;0,1695;0,0534;0,2946;0,2946;2,3328;0,0598;1,2978;0,2558;0,1308;;1,1055;1,7955;0,4970;0,2587;0,0844;0,1387;;0,1396;0,3763;0,5419;0,0123;1,5901;1,0930;10,3331;1,0603;0,0988;2,1276;2,6199;0,2574;0,1128;3,8255;0,0380;0,2952;1,2227;0,0580;0,4721;0,1099;3,8525;0,6876;0,1782;0,1101;4,9918;1,5641;1,2752;0,1632;3,5797;2,1711;14;014/B/NBP/2017;
20170412;5,9394;0,1248;4,0026;0,1755;0,4008;0,5776;0,7173;0,4586;0,1353;0,0890;6,9002;3,6323;10,6302;0,3433;5,6395;13,1371;2,8099;0,0344;1,7113;0,3971;1,0897;1,7312;4,0026;1,9997;1,9913;2,8567;1,9228;1,9420;0,0310;0,0424;0,2906;0,5304;0,5947;1,4784;0,5130;1,7681;0,8231;0,0384;2,2359;0,2364;0,6470;0,6459;3,5620;2,2621;0,0430;0,8630;0,2958;0,4768;0,2214;5,0047;0,2657;;0,5995;0,0078;0,9406;0,0586;0,0725;2,2486;1,2465;0,0487;0,5517;0,4233;0,0241;0,2945;1,6747;0,2072;3,1361;0,1715;0,0534;0,2906;0,2906;2,3714;0,0580;1,2717;0,2577;0,1311;;1,1124;1,8087;0,5000;0,2624;0,0849;0,1391;;0,1407;0,3762;0,5455;0,0123;1,5970;1,0997;10,4090;1,0687;0,0996;2,1107;2,6385;0,2579;0,1132;3,8715;0,0382;0,3068;1,2304;0,0585;0,4517;0,1097;3,8711;0,6919;0,1792;0,1107;5,0257;1,5713;1,2837;0,1659;3,5963;2,1732;15;015/B/NBP/2017;
20170419;5,8452;0,1235;3,9571;0,1727;0,3956;0,5702;0,7094;0,4528;0,1336;0,0879;6,8950;3,5955;10,4701;0,3383;5,5696;12,9577;2,7902;0,0343;1,7165;0,3945;1,0756;1,7184;3,9571;1,9742;1,9659;2,8276;1,9097;1,9007;0,0306;0,0420;0,2955;0,5236;0,5872;1,4597;0,5063;1,7387;0,8178;0,0382;2,2074;0,2333;0,6450;0,6444;3,5537;2,2125;0,0424;0,8544;0,2849;0,4707;0,2183;5,0729;0,2623;;0,5918;0,0077;0,9487;0,0579;0,0715;2,2199;1,2449;0,0481;0,5447;0,4202;0,0238;0,2938;1,6535;0,2048;3,1341;0,1686;0,0527;0,2957;0,2960;2,3216;0,0600;1,2544;0,2541;0,1299;;1,0981;1,7854;0,4935;0,2585;0,0837;0,1391;;0,1385;0,3778;0,5387;0,0122;1,5797;1,0859;11,4652;1,0535;0,0981;2,1181;2,5988;0,2551;0,1121;3,8260;0,0377;0,2886;1,2157;0,0582;0,4452;0,1074;3,8197;0,6831;0,1768;0,1094;4,9476;1,5504;1,2688;0,1643;3,5968;2,1681;16;016/B/NBP/2017;
